,init_assem_id,entering_assem_id,product_assem_id,leaving_assem_id,metal_bs,leaving_bs,entering_bs,duplicate_count,kind
0,11,,14,2,M1.b,X0.a,L3.a,2,intra
1,15,,21,2,M1.b,X0.a,L3.a,4,intra
2,16,,21,2,M1.b,X0.a,L3.a,2,intra
3,17,,21,2,M1.b,X0.a,L3.a,2,intra
4,22,,28,2,M1.b,X0.a,L3.a,4,intra
5,23,,28,2,M1.b,X0.a,L3.a,2,intra
6,24,,29,2,M1.b,X0.a,L3.a,2,intra
7,25,,28,2,M1.b,X0.a,L3.a,2,intra
8,26,,29,2,M1.b,X0.a,L3.a,4,intra
9,27,,29,2,M1.b,X0.a,L3.a,1,intra
10,27,,41,2,M1.b,X0.a,L6.a,2,intra
11,30,,42,2,M1.b,X0.a,L3.a,2,intra
12,31,,43,2,M1.b,X0.a,L3.a,4,intra
13,32,,43,2,M1.b,X0.a,L3.a,8,intra
14,33,,43,2,M1.b,X0.a,L3.a,1,intra
15,33,,59,2,M6.b,X1.a,L4.a,2,intra
16,34,,43,2,M1.b,X0.a,L3.a,2,intra
17,34,,59,2,M1.b,X0.a,L6.a,4,intra
18,35,,43,2,M7.b,X1.a,L2.c,1,intra
19,35,,59,2,M7.b,X1.a,L3.a,2,intra
20,35,,44,2,M1.b,X0.a,L3.a,2,intra
21,36,,43,2,M1.b,X0.a,L3.a,2,intra
22,36,,44,2,M1.b,X0.a,L5.a,4,intra
23,37,,44,2,M1.b,X0.a,L3.a,2,intra
24,37,,59,2,M1.b,X0.a,L6.a,2,intra
25,45,,60,2,M1.b,X0.a,L3.a,1,intra
26,45,,83,2,M6.b,X2.a,L4.a,2,intra
27,45,,62,2,M5.b,X1.a,L4.a,2,intra
28,46,,60,2,M1.b,X0.a,L3.a,2,intra
29,46,,62,2,M1.b,X0.a,L5.a,4,intra
30,46,,63,2,M6.b,X2.a,L5.a,2,intra
31,47,,63,2,M5.b,X2.a,L6.a,2,intra
32,47,,60,2,M1.b,X0.a,L3.a,2,intra
33,47,,83,2,M1.b,X0.a,L6.a,4,intra
34,48,,61,2,M1.b,X0.a,L3.a,4,intra
35,49,,61,2,M1.b,X0.a,L3.a,1,intra
36,49,,85,2,M1.b,X0.a,L6.a,2,intra
37,50,,62,2,M1.b,X0.a,L3.a,1,intra
38,50,,62,2,M7.b,X2.a,L2.c,1,intra
39,50,,83,2,M6.b,X1.a,L4.a,1,intra
40,50,,92,2,M7.b,X2.a,L3.a,1,intra
41,51,,62,2,M1.b,X0.a,L3.a,2,intra
42,51,,63,2,M9.b,X2.a,L2.c,1,intra
43,51,,83,2,M1.b,X0.a,L6.a,2,intra
44,52,,64,2,M1.b,X0.a,L3.a,4,intra
45,53,,61,2,M1.b,X0.a,L3.a,1,intra
46,53,,85,2,M1.b,X0.a,L6.a,2,intra
47,53,,64,2,M1.b,X0.a,L5.a,2,intra
48,54,,62,2,M1.b,X0.a,L3.a,6,intra
49,55,,85,2,M1.b,X0.a,L6.b,1,intra
50,55,,91,2,M1.b,X0.a,L4.a,2,intra
51,55,,64,2,M1.b,X0.a,L3.a,1,intra
