Time (min),1 (%),[PdPy*4]2+ (%),Py* (%),Pd214 cage (%),<a>,<b>,<c>,<n>,<k>
0,100,100,0.0,0.0,-,-,-,-,-
5,0,0,81.4,25.2,0.151,0.302,0.151,1.5,0.5
10,0,0,85.8,35.2,0.131,0.262,0.115,1.56,0.5
15,0,0,90.9,45.7,0.11,0.22,0.074,1.66,0.5
20,0,0,91.3,52.3,0.097,0.193,0.071,1.63,0.5
25,0,0,92.9,58.4,0.084,0.168,0.057,1.66,0.5
30,0,0,93.0,61.6,0.078,0.155,0.057,1.64,0.5
35,0,0,93.5,64.6,0.072,0.143,0.053,1.63,0.5
40,0,0,93.8,68.0,0.065,0.129,0.05,1.61,0.5
45,0,0,94.2,69.3,0.062,0.124,0.047,1.63,0.5
50,0,0,94.4,71.9,0.057,0.114,0.045,1.6,0.5
55,0,0,95.4,73.9,0.053,0.106,0.038,1.64,0.5
60,0,0,95.6,74.4,0.052,0.104,0.036,1.66,0.5
65,0,0,95.9,75.1,0.05,0.101,0.033,1.67,0.5
70,0,0,96.0,77.8,0.045,0.09,0.032,1.64,0.5
75,0,0,96.1,77.9,0.045,0.089,0.032,1.65,0.5
80,0,0,96.1,79.4,0.042,0.083,0.031,1.62,0.5
85,0,0,96.2,80.4,0.04,0.079,0.031,1.61,0.5
90,0,0,96.3,81.1,0.038,0.076,0.03,1.61,0.5
95,0,0,96.6,81.9,0.037,0.073,0.027,1.63,0.5
100,0,0,96.8,82.4,0.036,0.071,0.026,1.64,0.5
105,0,0,96.9,83.5,0.033,0.067,0.025,1.62,0.5
110,0,0,97.2,83.5,0.033,0.067,0.022,1.66,0.5
115,0,0,97.2,83.7,0.033,0.066,0.022,1.66,0.5
120,0,0,97.3,84.6,0.031,0.062,0.022,1.65,0.5
180,0,0,97.8,87.0,0.026,0.053,0.018,1.66,0.5
240,0,0,98.1,89.8,0.021,0.041,0.016,1.62,0.5
300,0,0,98.3,90.5,0.019,0.038,0.014,1.65,0.5
