,init_assem_id,entering_assem_id,product_assem_id,leaving_assem_id,metal_bs,leaving_bs,entering_bs,duplicate_count,kind
0,5,,10,28,M2.b,X4.a,L2.b,2,3f
1,6,,13,28,M2.c,X3.a,L3.b,1,3f
2,8,,16,28,M2.c,X2.a,L3.b,1,3f
3,8,,15,28,M2.b,X3.a,L2.b,2,3f
4,9,,15,28,M2.a,X2.a,L1.b,4,3f
5,11,,15,28,M2.b,X3.a,L2.b,2,3f
6,11,,16,28,M1.c,X1.a,L3.a,1,3f
7,12,,15,28,M1.d,X0.a,L4.a,2,3f
8,14,,20,28,M2.c,X1.a,L3.b,1,3f
9,14,,19,28,M2.b,X2.a,L2.b,4,3f
10,15,,21,28,M2.c,X2.a,L3.b,1,3f
11,16,,21,28,M2.b,X2.a,L2.b,2,3f
12,17,,23,28,M2.c,X1.a,L3.b,1,3f
13,17,,22,28,M2.b,X2.a,L2.b,1,3f
14,17,,19,28,M1.d,X0.a,L4.a,1,3f
15,18,,22,28,M2.a,X1.a,L1.b,4,3f
16,18,,20,28,M1.d,X0.a,L4.a,1,3f
17,19,,24,28,M2.c,X1.a,L3.b,2,3f
18,20,,24,28,M2.b,X1.a,L2.b,4,3f
19,22,,24,28,M1.d,X0.a,L4.a,2,3f
20,23,,24,28,M1.d,X0.a,L4.a,2,3f
21,24,,25,28,M2.d,X0.a,L4.b,1,4f
22,0,0,5,28,M1.b,X0.a,L1.b,2,2f
23,0,0,6,28,M1.c,X2.a,L1.b,1,2f
24,0,1,12,28,M1.b,X0.a,L1.b,4,2f
25,0,1,11,28,M1.c,X2.a,L1.b,2,2f
26,0,2,11,28,M1.b,X0.a,L1.b,4,2f
27,0,4,17,28,M1.b,X0.a,L1.b,4,2f
28,0,4,18,28,M1.c,X2.a,L2.b,1,2f
29,0,27,1,28,M1.b,X0.a,L1.a,4,1f
30,0,27,2,28,M1.c,X2.a,L1.a,2,1f
31,1,0,8,28,M1.c,X1.a,L1.b,2,2f
32,1,1,17,28,M1.c,X1.a,L1.b,4,2f
33,1,27,4,28,M1.c,X1.a,L1.a,4,1f
34,2,0,9,28,M1.b,X0.a,L1.b,2,2f
35,2,2,18,28,M1.b,X0.a,L1.b,4,2f
36,2,27,4,28,M1.b,X0.a,L1.a,4,1f
37,3,27,5,28,M1.b,X0.a,L1.a,8,1f
38,3,27,6,28,M1.c,X2.a,L1.a,4,1f
39,4,0,14,28,M1.d,X0.a,L1.b,1,2f
40,4,27,7,28,M1.d,X0.a,L1.a,2,1f
41,5,27,12,28,M2.b,X4.a,L1.a,4,1f
42,5,27,9,28,M1.d,X0.a,L1.a,2,1f
43,5,27,11,28,M2.c,X3.a,L1.a,2,1f
44,5,27,8,28,M1.c,X1.a,L1.a,2,1f
45,6,27,8,28,M1.b,X0.a,L1.a,4,1f
46,6,27,11,28,M2.b,X4.a,L1.a,4,1f
47,8,27,14,28,M1.d,X0.a,L1.a,2,1f
48,8,27,17,28,M2.b,X3.a,L1.a,4,1f
49,9,27,14,28,M1.d,X0.a,L1.a,2,1f
50,9,27,18,28,M2.d,X1.a,L1.a,2,1f
51,10,27,15,28,M1.c,X1.a,L1.a,8,1f
52,11,27,18,28,M1.d,X0.a,L1.a,2,1f
53,11,27,17,28,M2.b,X3.a,L1.a,4,1f
54,12,27,17,28,M1.c,X1.a,L1.a,4,1f
55,13,27,16,28,M1.b,X0.a,L1.a,8,1f
56,15,27,19,28,M1.d,X0.a,L1.a,2,1f
57,15,27,22,28,M2.d,X1.a,L1.a,2,1f
58,16,27,20,28,M1.d,X0.a,L1.a,2,1f
59,16,27,23,28,M2.b,X2.a,L1.a,4,1f
60,21,27,24,28,M1.d,X0.a,L1.a,4,1f
61,26,0,3,28,M1.a,X1.a,L1.b,4,2f
62,26,1,5,28,M1.a,X1.a,L1.b,8,2f
63,26,2,6,28,M1.a,X1.a,L1.b,8,2f
64,26,4,8,28,M1.a,X1.a,L1.b,8,2f
65,26,4,9,28,M1.a,X1.a,L2.b,4,2f
66,26,7,14,28,M1.a,X1.a,L1.b,16,2f
67,26,27,0,28,M1.a,X1.a,L1.a,8,1f
68,0,28,26,27,M1.a,L1.a,X1.a,1,1b
69,1,28,0,27,M1.a,L1.a,X1.a,2,1b
70,2,28,0,27,M1.a,L1.a,X1.a,2,1b
71,3,28,26,0,M1.a,L1.a,X1.a,2,2b
72,4,28,1,27,M1.a,L1.a,X1.a,2,1b
73,4,28,2,27,M1.b,L2.a,X1.a,1,1b
74,5,28,0,0,M1.a,L1.a,X1.a,1,2b
75,5,28,3,27,M1.b,L2.a,X1.a,1,1b
76,5,28,26,1,M2.a,L1.b,X1.a,1,2b
77,6,28,0,0,M1.a,L1.a,X1.a,1,2b
78,6,28,3,27,M1.c,L3.a,X1.a,1,1b
79,6,28,26,2,M2.a,L1.b,X1.a,1,2b
80,7,28,4,27,M1.a,L1.a,X1.a,4,1b
81,8,28,1,0,M1.a,L1.a,X1.a,1,2b
82,8,28,5,27,M1.c,L3.a,X1.a,1,1b
83,8,28,6,27,M1.b,L2.a,X1.a,1,1b
84,8,28,26,4,M2.a,L1.b,X1.a,1,2b
85,9,28,5,27,M1.a,L1.a,X1.a,2,1b
86,9,28,2,0,M1.b,L2.a,X1.a,1,2b
87,9,28,26,4,M2.b,L2.b,X1.a,1,2b
88,10,28,5,,M1.a,L1.a,X1.a,4,3b
89,11,28,0,2,M1.a,L1.a,X1.a,1,2b
90,11,28,5,27,M2.c,L3.b,X1.a,1,1b
91,11,28,6,27,M1.b,L2.a,X1.a,1,1b
92,11,28,0,1,M2.a,L1.b,X1.a,1,2b
93,12,28,5,27,M1.b,L2.a,X1.a,2,1b
94,12,28,0,1,M1.a,L1.a,X1.a,2,2b
95,13,28,6,,M1.a,L1.a,X1.a,4,3b
96,14,28,8,27,M1.b,L2.a,X1.a,2,1b
97,14,28,9,27,M1.c,L3.a,X1.a,1,1b
98,14,28,4,0,M1.a,L1.a,X1.a,1,2b
99,14,28,26,7,M2.a,L1.b,X1.a,1,2b
100,15,28,8,,M2.b,L2.b,X1.a,1,3b
101,15,28,11,,M1.b,L2.a,X1.a,1,3b
102,15,28,10,27,M1.c,L3.a,X1.a,1,1b
103,15,28,12,,M1.a,L1.a,X1.a,1,3b
104,15,28,9,,M2.a,L1.b,X1.a,1,3b
105,16,28,11,,M1.a,L1.a,X1.a,2,3b
106,16,28,8,,M2.a,L1.b,X1.a,2,3b
107,16,28,13,27,M1.b,L2.a,X1.a,1,1b
108,17,28,11,27,M1.b,L2.a,X1.a,1,1b
109,17,28,12,27,M1.c,L3.a,X1.a,1,1b
110,17,28,1,1,M1.a,L1.a,X1.a,1,2b
111,17,28,8,27,M2.d,L4.b,X1.a,1,1b
112,17,28,0,4,M2.a,L1.b,X1.a,1,2b
113,18,28,11,27,M1.a,L1.a,X1.a,2,1b
114,18,28,9,27,M2.d,L4.b,X1.a,1,1b
115,18,28,2,2,M1.b,L2.a,X1.a,1,2b
116,18,28,0,4,M2.b,L2.b,X1.a,1,2b
117,19,28,15,27,M1.c,L3.a,X1.a,2,1b
118,19,28,17,,M1.a,L1.a,X1.a,2,3b
